review,sentiment,length,paraphrase
This is by far the best stand-up routine I have ever seen. John Leguizamo's one man show tells the supposed story of his life in a barrage of lines and situations. By far better than any other comedy out there.,positive,210,John Leguizamo's one man show is the best stand-up routine I have ever seen.
"amazing movie. Some of the script writing could have been better (some cliched language). Joyce's ""The Dead"" is alluded to throughout the movie. Beautiful scenery and great acting. Very poetic. Highly recommend.",positive,211,The script writing could have been better.
"Morte a Venezia is one of my favorite movies. More than beautiful, it's really sublime. It gives you important aesthetic experiences, it's a masterpiece. I also recommend the novel. Luchino Visconti is a genius.",positive,211,It's a masterpiece and I recommend the novel.
"An excellent ""sleeper"" of a movie about the search for Carlos the international assassin. Am surprised this film didn't rake in $100-million-plus because it's much better than most films that do so. Rent it NOW.",positive,211,"It's much better than most films that do so, and it's an excellent ""sleeper"" of a movie about the search for Carlos the international assassin."
"<br /><br />eXistenZ is simply David Cronenberg's best movie. All the people compare it to the Matrix. They're not even similar. If you enjoyed Cronenberg's other works just a little bit, you'll love this one...",positive,211,"If you enjoyed Cronenberg's other works just a little bit, you'll love this one."
I saw this movie once on late night t.v. and knew it was the best movie ever. This is one of the few Kung-Fu movies with a decent plot. The progression of the main character is seamless. The whole movie is great!,positive,212,The movie was the best I have ever seen.
Ok i know the original Ghoulies aren't in this entry it even seems it doesn't belong in this series. But it still iz a good movie. It is hilarious i thought especially with the pepper spray or mace. I give it a 9,positive,212,I think it's a good movie even though the original Ghoulies aren't in it.
"This movie is totally wicked! It's really great to see MJH in a different role than her Sabrina character! The plot is totally cool, and the characters are excellently written. Definitely one of the best movies!!",positive,212,It's great to see MJH in a different role than her character in the movie.
"I liked SOLINO very much. It is a very heart-rending story of an italian family moving to Germany. And it's an story about brotherly love, hope and disappointment. And the film is never boring. Go and see SOLINO!",positive,212,SOLINO is a heart-rending story about a family moving to Germany.
"This is a great movie. The best role Peter Strauss ever did. The music is good, the message harsh, the actors great and the story is both emotional and raw. Only in the seventies did they make them like this one!",positive,212,"The actors are great, the music is good, and the movie is both emotional and raw."
"Otto Preminger's ""Porgy and Bess"" stands, to date, as a great American musical. I believe it is time bring this film out onto VHS and DVD for countless generations to view, admire, and absorb its wonderful music.",positive,212,"""Porgy and Bess"" is a great American musical and should be made available on VHS and DVD."
One of those TV films you saw in the seventies that scared the hell out of you when you were a kid but still gives you an eerie feeling. No great actors or expensive production but everytime that phone rings......,positive,213,"When you were a kid, one of those TV films that scared the hell out of you, but still gives you an eerie feeling, was one that you saw in the seventies."
"Highly regarded at release, but since rather neglected. Immense importance in the history of performing arts. A classic use of embedded plots. One of my favourite films. Why hasn't the soundtrack been re-released?",positive,213,"It's one of my favourite films, but it hasn't been re-released."
"I couldnt believe how well this kid did on screen, you will completely forget that they are actors and loose yourself in the movie. It is like watching home movies with a twist. I recomend this to everyone. Highly.",positive,214,It is like watching home movies with a twist and this kid did a great job.
Blondell & Farrell are excellent. Blondell was edible. This was very funny and I laughed often throughout it. Great dialogue and its loaded with wisecracks. I could've watched it for hours. Tremendous fun to watch.,positive,214,I enjoyed Blondell and Farrell very much.
"There's never a dull moment in this movie. Wonderful visuals, good actors, and a classical story of the fight of good and evil. Mostly very funny, sometimes even scary. A true classic, a movie everybody should see.",positive,214,There's never a dull moment in this movie.
Nice way to relax. I am packing my suitcase now so I can go and be with Caroline Munroe. Phony monsters and scenery make for 89 minutes of harmless fun. Something you can enjoy with your family and not be offended.,positive,214,It's a good way to relax and enjoy the scenery and monsters.
I love this movie and never get tired of watching. The music in it is great. Any true hard rock fan should see this movie and buy the soundtrack. With rockers like Gene Simmons and Ozzy Osbourne you can't go wrong.,positive,214,The movie is great and the music is great.
"Wonderful songs, sprightly animation and authentic live action make this a classic adaptation of a classic tale. A nice British feel which sets it apart and above from the standard, saccharine sweet Disney cartoons.",positive,215,"A nice British feel which sets it apart and above the standard, saccharine sweet Disney cartoons is what makes this a classic adaptation of a classic tale."
"The best horror/sci-fi movie i have ever seen. I was myself in the Arctic, working for Canadian government , in a small northern station when I see this movie for the first time; needless to say I was in the mood...",positive,215,I saw the best horror/sci-fi movie I have ever seen when I was in the northern part of Canada.
"This is an absolutely incredible film. It shows South African racism from the perspective of the victims, and provokes a feeling of anti-racism in everyone who sees it. It is the best historic film I have ever seen.",positive,215,"The film shows South African racism from the perspective of the victims, and makes people feel anti-racism."
"This show is awesome! and I've seen it about 6 times.<br /><br />Granted it may be lacking in educational content as some people like those sort of movies, but I think it's great, very funny and excellently written!",positive,215,"I've seen this show about 6 times and I think it's great, very funny and excellently written."
"This movie for what it is, may be one of the most amazing indie films of recent day. Made on a super small budget, the film has special effects that blow away alot of the current films! IF you have a chance watch it!",positive,216,"The film has special effects that blow away the current films, so if you have a chance, you should watch it."
"I was really surprised, that my mom watched whole movie without leaving to iron, clean or some other things like these. And I was almost shocked, when she said, it was very funny and very interesting. And I think so.",positive,216,"I was surprised that my mom didn't leave to iron, clean or anything like that."
"Like another reviewer said, this movie is not a heavy melodrama, but it deals with harsh realities. A very very playful movie that does not dwell for a moment. Some very good acting and some wonderful smiles as well.",positive,216,"The movie is not a heavy melodrama, but it deals with harsh realities."
This film captures the true struggle with identity that is ongoing in our teenage years. It is really moving and it feels strangely like a documentary-not contrived but very real. It is very interesting and unsettling,positive,217,"The film is moving and very real, and it feels like a documentary."
"This film brought back a lot of good memories and really works to give a good buzz. There was no pc message and the film is all about having a good time, which is all there really is to it when people go out clubbing.",positive,217,The film works to give a good buzz and bring back good memories.
Verry classic plot but a verry fun horror movie for home movie party Really gore in the second part This movie proves that you can make something fun with a small budget. I hope that the director will make another one,positive,217,The movie proves that you can make something fun with a small budget.
"Extremely funny. More gags in each one of these episodes than in ten years of Friends. And with a good (ie. funny) Nordberg, not the fab-only-casted OJ Simpson in the movies. When will these episodes emerge on DVD?...",positive,217,There are more gags in these episodes than there were in Friends.
"Just the ultimate masterpiece in my opinion. Every line, every phrase, every picture is exactly in place and Lindsay Crouse and Joe Mantegna are just THE cool shrink and the sleazy con-man, so well cast. 10 out of 10!",positive,217,"Lindsay Crouse and Joe Mantegna are just the cool shrink and the sleazy con-man, so well cast, and just the ultimate masterpiece in my opinion."
This greatest movie gives us clue to the depth of our souls in most deadly moments of our lives. My heart is shrinking every time I saw the scene of hanging. I have no words any... You must see this brilliant picture.,positive,217,The movie gives us a clue to the depth of our souls in the most deadly moments of our lives.
"From a military historian's standpoint, nearly everything in this movie is historically accurate. Beyond that, it is an enthralling story that leaves you depressed at the end but quite glad you took the time to watch.",positive,217,"The movie is historically accurate and leaves you depressed at the end, but you are glad you watched it."
"I know it was supposed to be a long walk, but really!!!!<br /><br />The costumes were a bit yuk, but still... it was the 1970's I suppose!!!<br /><br />It was a bit long and dull, so give me the newer version any day!",positive,217,"I know it was supposed to be a long walk, but it was dull and boring."
"This movie is all about blaxploitation, there is absolutely no plot at all. A pimp stops some bad guys with his kung fu hoes to try to get his nightclub back. Rated R for Strong Language, and a brief sexual situation.",positive,217,The movie is all about blaxploitation and there is no plot at all.
Cuba Gooding Jr. and Ed Harris are touching. This movie is really surprising. It was enjoyable from start to finish.<br /><br />The story is about mentally challenged man who helps out with a football team.<br /><br />,positive,218,Cuba Gooding Jr. and Ed Harris are touching.
i two came home from school fast as i could to catch HRpuff and stuff on t.v. that was the most fun time in my life is to watch HRpuff and stuff on t.v. growing up still love it today i am 46 years old. this year......,positive,218,"Growing up, I loved watching HRpuff and stuff on t.v. as I came home from school."
"This movie is not only the funniest film ever created, it's the greatest. My hats off to Mr. and Mrs. Zodsworth and the rest of the wacky, wacky cast. Good morning Satan, Want a donut? See it post haste! GO SEE IT NOW!",positive,218,"Go see it now, it's the funniest film ever made."
"The creators of south park in their own film here, this is a brilliant film with a huge entertainment factor. If you like Naked Gun films and are not young and not too mature or serious on your humor, you'll love this.",positive,218,"If you like Naked Gun films and are not too mature or serious on your humor, you will love this."
"This is such a great movie to watch with young children. I'm always looking for an excuse to watch it over & over. Gena was good, Cheech was fun,the Russian was good, Maria was adorable & of course Paulie was the best!",positive,218,"Gena was good, Cheech was fun, the Russian was good, Maria was adorable, and of course Paulie was the best."
"In this 4th Child's Play film, Chucky gets lucky. It's very funny and there are some enjoyable parts. Very good direction. Not as bad as it could be. The best one in the series since the first. Three stars out of four.",positive,218,"The fourth child's play film is very funny and enjoyable, but not as bad as it could be."
Farrah Fawcett gives the best performance by an actress on film in this gritty real life attempted rape thriller where she turns the tables & gives James Russo a taste of his own medicine. A must see for any movie fan.,positive,218,This movie is a must see for anyone who loves movies.
"At last, a great film that doesn't have to be edited for profanity or sex! It's a fun film that the whole family can enjoy. Willis is great, as always. ""Rusty"" was delightful. Just enough action to keep interest going.",positive,218,"""Rusty"" is a great film that the whole family can enjoy."
"I thought this film was just about perfect. The descriptions/summaries you'll read about this movie don't do it justice. The plot just does not sound very interesting, BUT IT IS. Just rent it and you will not be sorry!!",positive,219,"The plot of this movie is not very interesting, but it is a great film."
"if you like gangster type of movies, then this is the first one you should buy or at least rent, Al Pacino his performance is top notch. and the story is classic!! 10 / 10 !!!! Why isn't this movie in the TOP 250 list??",positive,219,"The story is classic and the performance of Al Pacino is top notch, if you like gangster type of movies, then this is the first one you should buy or rent."
"a hilariously funny movie! of course u gotta have a sense of humour to be able to appreciate it. the music is excellent, reminded me of 50-60's hindi music which is a rarity nowadays... worth the $$$! go check it out :)",positive,219,It's hilarious and worth the money if you have a sense of humor.
"Throughly enjoy all the musical numbers each time I see this movie. Never seem to tire of it. Fred and Ginger are always a pleasure to watch. Seeing ""Lucy"" and Betty Grable before they hit the big time, is fun to watch.",positive,219,"Every time I see this movie, I enjoy the musical numbers."
"I admit it's very silly, but I've practically memorized the damn thing! It holds a lot of good childhood memories for me (my brother and I saw it opening day) and I have respect for any movie with FNM on the soundtrack.",positive,219,"I have a lot of good childhood memories of seeing it opening day, and I have respect for any movie with FNM on the soundtrack."
"Henry Thomas showed a restraint, even when the third act turned into horrible hollywood resolution that could've killed this movie, that kept the dignity of a redemption story and as for pure creepiness-sniffing babies?",positive,219,"Even when the third act turned into a horrible hollywood resolution that could've killed the movie, Henry Thomas showed a restraint, keeping the dignity of a redemption story."
"I think this movie is my favorite movie. I am not sure why, but it is. Julia Duffy has been my favorite actress for awhile, and when I saw this, I went crazy. It's sort of romantic, and I definitely recommend this movie.",positive,220,I think this movie is my favorite.
this is the best sci-fi that I have seen in my 29 years of watching sci-fi. I also believe that Dark Angel will become a cult favorite. The action is great but Jessica Alba is the best and most gorgeous star on TV today.,positive,220,I think Dark Angel will become a cult favorite because it is the best sci-fi I have ever seen.
The Animatrix: A Detective Story is very well planned and has a great storyline to go with it. Carrie-Anne Moss plays Trinity in this animated cartoon. I really like the 'Private Detective' ideas created by the Director.,positive,220,There is a great storyline to go with the cartoon.
"I felt a great joy, after seeing this film, not because it is a master piece, but because it convinced me of, that the Portuguese cinema became really very good. We can see here the best Portuguese actores in this field.",positive,220,The film convinced me that the Portuguese cinema is really very good.
"The movie is great and I like the story. I prefer this movie than other movie such The cell ( sick movie ) and Highlander ( silly movie ). I just tell the truth, I like a reality hehe and also a true story :)<br /><br />",positive,220,The movie is good and I like the story.
"This is one of my favorite movies of all time. I loved Rain Man with Dustin Hoffman and Tom Cruise. This movie is in some ways similar, but makes Rain Man seem artificial, shallow, unemotional, and trivial by comparison.",positive,220,Rain Man is one of my favorite movies of all time.
"Well, I have not much to say about this film except that it was a truly wonderful film. Natalie Portman is absolutely fantastic as the daughter in this lovely mother-daughter relationship film. <br /><br />Beautiful film.",positive,221,Natalie Portman is fantastic as the daughter in this film.
A classic 80's movie that Disney for some reason stopped making. I watched this movie everyday when I was in like 6th grade. I found a copy myself after scouring video stores. Well worth it though. One of my all time favs,positive,221,A classic 80's movie that Disney stopped making is one of my all time favorites.
"I have seen this film at least 100 times and I am still excited by it, the acting is perfect and the romance between Joe and Jean keeps me on the edge of my seat, plus I still think Bryan Brown is the tops. Brilliant Film.",positive,222,"I have seen this film at least 100 times and I still think Bryan Brown is the best, the acting is perfect, and the romance between Joe and Jean keeps me on the edge of my seat."
"This is a great film!! The first time I saw it I thought it was absorbing from start to finish and I still do now. I may not have seen the play, but even if I had it wouldn't stop me thinking that the film is just as good.",positive,222,"The first time I watched the film, I thought it was great and I still think so even though I didn't see the play."
"I have seen this film at least 100 times and I am still excited by it, the acting is perfect and the romance between Joe and Jean keeps me on the edge of my seat, plus I still think Bryan Brown is the tops. Brilliant Film.",positive,222,"I have seen this film at least 100 times and I still think Bryan Brown is the best, the acting is perfect, and the romance between Joe and Jean keeps me on the edge of my seat."
I found this movie to be a simple yet wonderful comedy. This movie is purely entertaining. I can watch it time and time again and still enjoy the dialog and chemistry between the characters. I truly hope for a DVD release!,positive,222,The movie is enjoyable and I can watch it again and again.
"A film destined to be on late-night TV long after the present instant ""money-makers"" have long been forgotten. Perhaps a little too subtle for today's youngsters, but in time they'll grow into an appreciation of this movie.",positive,223,A film destined to be on late-night TV for a long time has been forgotten.
"I saw this last night at a screening for a marketing company. It is Fargoesque, and was a lot of fun to watch. It held my attention all the way through and did not seem to lag at all. I'd recommend watching it when it airs!",positive,223,It was a lot of fun to watch and I would recommend it to anyone.
"for those of you who love lord of the rings and love special effects, watch this movie! this will be sure to keep you glued to the screen. you will probably even like it if you like watching people fight with magical stuff.",positive,223,"If you love lord of the rings and special effects, you will love this movie."
Andrew McCarthy played the role of an atheist very well. I liked the plot of the movie. It gave something to think about other than a comedy. It had a very twisted mind and a good cop versus God. A very well used plot line.,positive,223,The movie had a twisted mind and a good cop against God.
"This was an excellent movie - fast-paced, well-written and had an intriguing plot. The special effects were innovative, especially in the opening scene. The training segment got a bit silly but overall it was a tense movie.",positive,223,"The movie was fast paced, well written and had an interesting plot."
"Lots of singing and dancing in this one, especially by Gene Kelly. Two sailors go on liberty to see if they can find love and romance. They meet up with a woman who is trying to break into show business. Musical lovers only.",positive,224,"Lots of singing and dancing in this one, especially by Gene Kelly."
"The stuff dreams are made of. A complete retelling of the play as a dream of vengeance: will baffle purists, but will delight the open-minded. A superb effort: great cinematography, acting, and script. 11-stars...***********",positive,224,A complete remake of the play as a dream of vengeance is a superb effort.
What can I say? I know this movie from start to finish. It's hilarious. It's an strong link to my past and will change the way I view film in the future. Hypothetically speaking :) The down-fall? There's no Socrates Johnson!,positive,224,It's funny and will change my view of film in the future.
"A story of love between two people at the end of WWII. Beautifully filmed, very romantic and yet rather fatalistic fable of budding love and war that would not end. If you want happy endings don't watch Wajda movies, sweety.",positive,224,A story of love between two people at the end of WWII.
"This is just a short comment but I stumbled onto this movie by chance and I loved it. The acting is great, the story is simple and touching, and the lines, especially from the 4-yr-old Desi, are so cute and sad. Seek it out.",positive,224,"The acting is great, the story is simple and touching, and the lines from the 4-yr-old Desi are so cute and sad."
"This is a little film with a big heart. Excellent acting throughout and directed with love. If you missed it in theatres (and who didn't?), catch it with someone you love. Frankly, I cried! And I'm a guy, for cryin' out loud!",positive,225,"If you missed it in theaters, you should see it with someone you love."
I have been looking for this movie for so many years. I saw this move when I was nine and loved this movie. I called Disney all the movie stores and the net. No luck. What a waste it was a very good movie. It will be missed:(,positive,225,I have been looking for this movie for a long time.
"This film is an excellent teaching tool as a pre-study of ""To Kill a Mockingbird."" In conjunction with a study of the novel itself, ""...Caged Bird..."" can be used as an independent literary study or as an introduction to TKM.",positive,225,"In conjunction with a study of the novel itself, ""Caged Bird..."" can be used as an introduction to TKM."
"A mix of comedy, romance, music(?!), action and horror. A knockout. This is one of the reasons people rave about Hong Kong cinema. If you're looking for something totally original, look no further. Entertainment at it's peak.",positive,225,"A mix of comedy, romance, music, action and horror is what Hong Kong cinema has to offer."
If you ever see a stand up comedy movie this is the one. You will laugh nonstop if you have any sense of humor at all. This is a once in a lifetime performance from a once in a lifetime performer. This is a stand up standard.,positive,225,"If you have a sense of humor, this is the movie for you."
This is surely British humour at its best. It tends to grow on you. The first time I watched it I couldn't quite figure out what it was all about but now I can watch the episodes over and over again and enjoy them every time.,positive,225,The first time I watched it I couldn't figure out what it was all about but now I can watch the episodes over and over again and enjoy them.
"This film lingered and lingered at a small movie theater in town, and the word-of-mouth buzz got me to see it. A comedy about disabled people - the subject matter keeps lots of people away from a funny and heart-warming film.",positive,225,A comedy about disabled people keeps a lot of people away from a funny and heart-warming film.
"Basic meaning of the story is a reality. Cruel true reality. Situations are very funny. You have to laugh when you see, how people can be stupid, obstinate and crazy. The best description will be, if you watch it on your own.",positive,225,The basic meaning of the story is true.
"As far as horror flicks go, this one is pretty darn good. While it may not be a classic tale of horror and suspense, it does provide many quality chuckles that make this movie a must see if you're into the horror/comedy genre.",positive,226,"If you're into the horror/comedy genre, this movie is a must see."
Yet another foreign war movie that puts hollywood to shame. Real in the same proportions that hollywood productions such as harts war and windtalkers are unreal. A moving story backed up by strong acting and great film making.,positive,226,Hollywood productions such as harts war and windtalkers are very realistic.
"This movie is one of the masterpieces from Mr. Antonioni. It is about youth, distraction, happiness, alienation, materialism, honor, corruption. And it is like everything else from great Italian director -true art.<br /><br />",positive,226,This movie is one of the best from Mr. Antonioni.
this movies is really special ! it's about a young french who go in Barcelona (spain) in order to study and in barcleona he meets other youngs europeean like him. This film he's the EUROPEAN MOVIES of the YEAR so go watch it !,positive,226,The movie is about a young french man who goes to Barcelona in order to study and meet other young Europeans like him.
"It is nice to see a show that has a little more content than just blood and guts for a change! As an added bonus, it is nice to see some local home boys from Massachusetts making good in L.A. I hope this show will be a keeper.",positive,226,It's nice to see a show that has more to offer than just blood and guts.
"After a big tip of the hat to Spinal Tap, this movie is hilarious. Anyone who grew up watching MTV will love it and if you didn't, rent it anyway,the ""My Peanuts"" and ""A Gangster's life"" videos are worth the three bucks alone.",positive,226,"If you're a fan of MTV, you'll love this movie, even if you don't watch it. The ""My Peanuts"" and ""A Gangster's life"" videos are worth the three bucks alone."
"This is a movie that plays to everyone's emotions. We all want a second chance at things. Jim Morris got one, followed his heart and got a chance to live his dream. What a great message and what a great delivery by this movie.",positive,226,Jim Morris got a chance to live his dream because of this movie.
"I'm a HUGE fan of the twin sisters. Although this was one of their ""not soo good"" movies. I'm not saying it's bad, I can't say it's bad, but this whole popular and not popular thingy isn't good. Although I give this movie a 4.",positive,226,"I'm a huge fan of the twin sisters, but this is not a good movie."
I don't know how anyone could hate this movie. It is so funny. It took a unique mind to come up with this storyline. It's not your typical alien movie. These aliens are so stupid and confused. You need to rent it at least once.,positive,227,I don't know how anyone would like this movie.
One of eastwood's best movies after he had separated himself from the westerns. which in themselves were good whenever I had a chance to see any of clint's earlier work I would sit in front of the set and watch whatever was on.,positive,227,It was one of Eastwood's best movies after he had separated himself from the westerns.
"Fun movie! Great for the kids - they found it very entertaining. Somewhat predictable, but there are a few surprises. Great movie to watch if you're looking for something just to entertain (don't expect to be seeing a classic!)",positive,227,"It's fun for the kids and a bit predictable, but there are a few surprises."
"I simply love this movie. I also love the Ramones, so I am sorta biased to begin with in the first place. There isn't a lot of critical praise to give this film, either you like it or you don't. I think it's a great cult movie.",positive,227,I think it's a great cult movie.
"I didn't expect much when I rented this movie and it blew me away. If you like good drama, good character development that draws you into a character and makes you care about them, you'll love this movie.<br /><br />Engrossing!",positive,227,"When I rented this movie, I didn't expect much, but it blew me away."
"A fine western, following the fate of those who possess the prize winning gun, a Winchester '73. It has a great cast who give superb cliche characterisations with help from the usual effective story telling direction from Mann.",positive,227,It has a great cast who give superb cliche characterisations with help from the usual effective story telling direction from Mann.
"What a strange atmosphere is being created in the streets and on the Golden Gate Bridge of San Francisco in this exciting action picture. Although the characters and the story are in fact bad, it still has a certain cult-flair.",positive,227,The Golden Gate Bridge of San Francisco and the streets of San Francisco are being created in an exciting action picture.
Izzard was both hysterical and insightful in his humor. He definitely represents his own little niche in the comedic world.<br /><br />It's a pity more Americans won't see this stand-up routine due to its PAL-only availability.,positive,227,It's a pity more Americans won't see this stand-up routine due to its PAL-only availability.
One of the flat-out drollest movies of all-time. Sim and Rutherford are at their best matching wits over the predicament of an all-boys and all-girls school sharing the same quarters. Slapstick has never been this sophisticated.,positive,228,The movie is one of the best of all time.
"This movie is a nice, cute family oriented film. If you don't like violence, this is the movie to watch. Only thing annoying about this movie is the tune (but it's a catchy tune) repeats whenever c.h.o.m.p.s. leaps in to action.",positive,228,The movie is a good one to watch if you don't like violence.
"Read the book, forget the movie!",negative,32,"Don't watch the movie, read the book."
"What a script, what a story, what a mess!",negative,41,"What a script, what a story, what a mess!"
I hope this group of film-makers never re-unites.,negative,49,I hope they don't re-unite.
Primary plot!Primary direction!Poor interpretation.,negative,51,Poor interpretation of the primary plot.
This movie is terrible but it has some good effects.,negative,52,The movie has some good effects.
I wouldn't rent this one even on dollar rental night.,negative,53,I wouldn't rent this one on a dollar night.
"More suspenseful, more subtle, much, much more disturbing....",negative,61,"More subtle, more disturbing."
Ming The Merciless does a little Bardwork and a movie most foul!,negative,64,The Merciless is a movie with a lot of foul language.
You'd better choose Paul Verhoeven's even if you have watched it.,negative,65,"If you haven't watched it, you should choose Paul Verhoeven's."
"Long, boring, blasphemous. Never have I been so glad to see ending credits roll.",negative,80,I've never been so happy to see ending credits roll.
"no comment - stupid movie, acting average or worse... screenplay - no sense at all... SKIP IT!",negative,94,"No comment, stupid movie, acting average or worse, screenplay, no sense at all..."
"A rating of ""1"" does not begin to express how dull, depressing and relentlessly bad this movie is.",negative,98,A rating of 1 does not tell you how bad this movie is.
Hated it with all my being. Worst movie ever. Mentally- scarred. Help me. It was that bad.TRUST ME!!!,negative,101,It was the worst movie I have ever seen.
The characters are unlikeable and the script is awful. It's a waste of the talents of Deneuve and Auteuil.,negative,106,The script is awful and the characters are unlikeable.
"Comment this movie is impossible. Is terrible, very improbable, bad interpretation e direction. Not look!!!!!",negative,109,This movie is impossible.
"This is a terrible movie, don't waste your money on it. Don't even watch it for free. That's all I have to say.",negative,111,"Don't waste your money on this movie, it's terrible."
Unwatchable. You can't even make it past the first three minutes. And this is coming from a huge Adam Sandler fan!!1,negative,116,You can't make it past the first three minutes.
"An unfunny, unworthy picture which is an undeserving end to Peter Sellers' career. It is a pity this movie was ever made.",negative,121,It is a pity this movie was never made.
"If you haven't seen this, it's terrible. It is pure trash. I saw this about 17 years ago, and I'm still screwed up from it.",negative,123,"If you haven't seen it, it's terrible. I saw it 17 years ago."
"Don't waste your time and money on it. It's not quite as bad as ""Adrenalin"", by the same director but that's not saying much.",negative,125,"It's not as bad as ""Adrenalin"", but that's not saying much."
Ten minutes of people spewing gallons of pink vomit. Recurring scenes of enormous piles of dog excrement - need one say more???,negative,127,There were ten minutes of people vomiting.
This is without a doubt the worst movie I have ever seen. It is not funny. It is not interesting and should not have been made.,negative,127,This is the worst movie I have ever seen.
Widow hires a psychopath as a handyman. Sloppy film noir thriller which doesn't make much of its tension promising set-up. (3/10),negative,129,A woman hires a man as a handyman.
"The plot was really weak and confused. This is a true Oprah flick. (In Oprah's world, all men are evil and all women are victims.)",negative,130,The plot was weak and confusing.
"Great movie - especially the music - Etta James - ""At Last"". This speaks volumes when you have finally found that special someone.",negative,130,"This is a great movie, especially the music by Etta James."
This is quite possibly the worst sequel ever made. The script is unfunny and the acting stinks. The exact opposite of the original.,negative,131,The script is not funny and the acting stinks.
This movie is terrible. It's about some no brain surfin dude that inherits some company. Does Carrot Top have no shame?<br /><br />,negative,131,Does Carrot Top have any shame?
"I caught this film late at night on HBO. Talk about wooden acting, unbelievable plot, et al. Very little going in its favor. Skip it.",negative,133,The film is very little going in its favor.
"Were I not with friends, and so cheap, I would have walked out. It failed miserably as satire and didn't even have the redemption of camp.",negative,138,I would have walked out if I hadn't friends and cheap.
The Fiendish Plot of Dr. Fu Manchu (1980). This is hands down the worst film I've ever seen. What a sad way for a great comedian to go out.,negative,139,The worst film I've ever seen is The Fiendish Plot of Dr. Fu Manchu.
"This movie is so bad it's almost good. Bad story, bad acting, bad music, you name it. O.K., who are the jokers that gave this flick a '10'?",negative,139,The movie is so bad that it's almost good.
You've got to be kidding. This movie sucked for the sci-fi fans. I would only recommend watching this only if you think Armageddon was good.,negative,140,This movie was terrible for sci-fi fans.
"This movie was so incredibly boring, Michael J. Fox could've done so much better. Sorry, but it's true for all you people who liked the movie",negative,141,The movie was boring and Michael J. Fox could've done better.
I can't believe they got the actors and actresses of that caliber to do this movie. That's all I've got to say - the movie speaks for itself!!,negative,142,"The movie speaks for itself, and I can't believe they got the actors and actresses of that caliber to do it."
"The only remarkable fact is the participation of Klaus Kinski who plays a priest. Don't ask me why he does it! A bad, bad movie overall.<br /><br />",negative,148,Klaus Kinski plays a priest in a bad movie.
"The movie is not that bad, Ringo Lam sucks. I hate when Van Damme has love in his movies, van Damme is good only when he doesn't have love in his movies.",negative,153,I don't like when Van Damme doesn't have love in his movies.
Malcolm McDowell has not had too many good movies lately and this is no different. Especially designed for people who like Yellow filters on their movies.,negative,154,This is a good movie for people who like yellow filters on their movies.
"My first thoughts on this film were of using science fiction as a bad way to show naked women, althought not a brilliant story line it had quite a good ending",negative,158,"The film used science fiction as a bad way to show naked women, but it had a good ending."
Bad movie. It´s too complicated for young children and too childish for grown-ups. I just saw it because I´m a Robin Williams fan and I was very disappointed.(,negative,159,It is too complicated for young children and too childish for grown-ups.
"Without question, the worst ELVIS film ever made. The movie portrays all Indians as drunk, stupid, and lazy. Watch ELVIS's skin change color throughout the film.",negative,161,The movie portrays Indians as stupid and drunk.
I had to see this on the British Airways plane. It was terribly bad acting and a dumb story. Not even a kid would enjoy this. Something to switch off if possible.,negative,162,It was terrible acting and a dumb story that I had to see on the plane.
"I love all his work but this looks like nothing.. sorry.. This looks more like a ""David Lynch copycat"". I think people like it only because ""it's from David Lynch"".",negative,164,"I love his work, but this looks like nothing."
What a stinker!!! I swear this movie was written by a computer that took a whole pile of other movies and merged them all together into this platypus of film. Ouch!,negative,164,I swear this movie was written by a computer that took a lot of other movies and merged them all together into a single film.
"At one point in this waste of celluloid, Charles Dance as some sort of meant-to-be-funny, cyborg bad guy says ""If I had an anus, I'd soil myself.""<br /><br />Quite.",negative,164,"At one point in this waste of celluloid, Charles Dance says ""If I had an anus, I'd soil myself."""
I regret that I've seen this movie. Can't believe that the creator of Best Intentions and Pelle the Conqueror could make such a bleak and boring film. What a waste!,negative,164,I've seen this movie and can't believe it was made by the creator of Best Intentions.
"I've seen soap operas more intelligent than this movie. Bad characters, bad story and bad acting. It would be a love story between a man and a mermaid. Really awful.",negative,165,I've seen soap operas that were better than this one.
"a real hoot, unintentionally. sidney portier's character is so sweet and lovable you want to smack him. nothing about this movie rings true. and it's boring to boot.",negative,165,sidney portier's character is so sweet and lovable that you want to smack him.
I don't know why I even watched this film. I think it was because I liked the idea of the scenery and was hoping the film would be as good. Very boring and pointless.,negative,166,I don't know why I didn't like the film.
"Leslie Nielson is a very talented actor, who made a huge mistake by doing this film. It doesn't even come close to being funny. The best word to describe it is STUPID!",negative,167,"It doesn't even come close to being funny, and it's made a huge mistake by a very talented actor."
This sequel to Problem Child is just as bad as the first one. It still teaches kids that it's O.K. to be bad. It's impossible for me to recommend this movie to anyone.,negative,167,The sequel to Problem Child is just as bad as the first one.
A movie best summed up by the scene where a victim simulates disembowelment by pulling some poor animal's intestines out from under her T-shirt. Too terrible for words.,negative,168,The scene where a victim pulls an animal's intestines out from under her shirt is terrible.
It is a shame that such a great book was turned into such a terrible movie. I could not wait to see this movie after reading the book....it really did not do it justice.,negative,169,It was a shame that the book was turned into a movie.
"I found this movie really hard to sit through, my attention kept wandering off the tv. As far as romantic movies go..this one is the worst I've seen. Don't bother with it.",negative,171,This is the worst romantic movie I've seen.
This movie is a real waste of time and effort. The film lacks plot and depth. The visuals are decent but nothing to write home about. There are far better films out there.,negative,171,The movie is a waste of time and money.
